x,y
-0.219999977648258,0.030000073760748
-0.17826022711784,0.0239190647590011
-0.153405089876132,0.0212319919650543
-0.131402487924732,0.0331014226839148
-0.109089369611284,0.0443765235599347
-0.086823172074902,0.0557435586414261
-0.0644020978272277,0.0668023661792621
-0.0420708597014976,0.0780412274307185
-0.0201741156007966,0.0901052077130249
0.00182600679734324,0.101979216068672
0.0238001892536903,0.113901289610583
0.0458327365790712,0.125715025748535
0.0676314429585847,0.137954863577408
0.0892380793279119,0.150531157710121
0.110962971314236,0.162901458187422
0.133114537196078,0.174490508653081
0.154576405802017,0.18731208782363
0.176362523680367,0.199574432366704
0.198595914819775,0.211005935832945
0.220915327383806,0.222268066738069
0.243059073136137,0.233872375993018
0.265260993022635,0.245364533146686
0.287576590889343,0.256635056385919
0.309906875340743,0.267875443516305
0.332302009646624,0.278986893877191
0.357180702644299,0.281446229240986
0.38208266529564,0.28365913515775
0.406995118364619,0.285748826350998
0.431925309776146,0.287616502160079
0.456863512052051,0.289370881458682
0.481815637973183,0.290916978283478
0.506774821084362,0.292347489779404
0.53174487608291,0.293569718801523
0.556721225332039,0.294656907538426
0.581706920589609,0.295499955646692
0.606698147158297,0.296167527678124
0.63169795679596,0.296226655486622
0.656697766433622,0.296114503385342
0.680000035762787,0.280000077486038
0.705292241950217,0.268639908859727
0.729290502805866,0.26163345428755
0.752542990334972,0.252451096362636
0.774385565733694,0.240289459828874
0.795264357853894,0.226539001860305
0.815975875496504,0.212537918277649
0.836775703382129,0.198668441752618
0.857354469557918,0.184472427136784
0.877824135390283,0.170120391400461
0.898368378555303,0.155874785719435
0.918808861953151,0.141480788312565
0.939286538649894,0.127139433728745
0.95970356165921,0.112712248455169
0.98001110285537,0.0981313308794984
1.00032589197644,0.0835607129865981
1.0206464031435,0.0689977244883426
1.03942196189496,0.0524907662345573
1.0592904314293,0.0373170446949747
1.07954952596947,0.0226689884464282
1.0970235099945,0.00478988356575094
1.11683437759927,-0.0104589875110843
1.13187515693717,-0.0304285465244742
1.150497746326,-0.0471075476275029
1.17117168919998,-0.0611643257910668
1.18750450652099,-0.0800917094959583
1.20713646482135,-0.0955702253516062
1.22856247527245,-0.108451313800385
1.24522354729807,-0.127090306387698
1.26529190697211,-0.141998524993637
1.29028580382892,-0.141441960654289
1.31519196264732,-0.13927750139352
1.3364503171511,-0.152433248049517
1.35602333837782,-0.167986531972685
1.37677929724424,-0.181921621291663
1.4014418876386,-0.186015554458136
1.42587521472387,-0.191308828462793
1.45087216333854,-0.191687246437182
1.4756175326648,-0.195246740508777
1.50059330970933,-0.196349950974435
1.5233544642233,-0.186009832412152
1.54816067797185,-0.189115758972106
1.57236073631586,-0.195390173128102
1.59634679014007,-0.202437063491898
1.61957104890899,-0.211690756256742
1.64394009834439,-0.217273184318442
1.66785176557082,-0.22456841147793
1.69087308244218,-0.214819952470362
1.71235211718607,-0.202027364999465
1.73733075525359,-0.203058096215996
1.76207745972391,-0.19950699447851
1.78707326392939,-0.19905037520901
1.81206868666513,-0.198583837726472
1.83703206594336,-0.197228857237532
1.8618996963188,-0.199798437353946
1.8803456652216,-0.216672369490153
1.89332364698237,-0.238040015072228
1.9079537741535,-0.217767950561166
1.93241971690088,-0.212628408858604
1.95679372544279,-0.207069250450571
1.98165334495385,-0.204421469039046
2.00631231138575,-0.200306936507031
2.03019079074548,-0.192903371943585
2.0536942853584,-0.184383245473851
2.07679113323675,-0.174815603119368
2.0998193165633,-0.165083928780019
2.12244886401964,-0.154458852327748
2.1448289302711,-0.143316884388282
2.16687521050684,-0.131529088192123
2.18839315516342,-0.118801732045439
2.20980543270417,-0.105898136882457
2.23196233916226,-0.0943193860995688
2.25374311646436,-0.0820475048131879
2.27497038118497,-0.06884064121307
2.29681982303887,-0.0566915931804726
2.31868719397019,-0.0445745886053839
2.34079145760523,-0.0328958927526468
2.3628308713858,-0.0210951265855908
2.38463453687183,-0.00886368109082802
2.40641073653714,0.00341621105993006
2.42816786271584,0.0157296725471259
2.44998564258196,0.0279355595698281
2.47160124349,0.0404965949132521
2.49328016837359,0.0529470040343245
2.51493353478511,0.0654420451140698
2.53644461298651,0.0781812268224531
2.55794577297487,0.0909360487898585
2.57948546140619,0.103626783842246
2.60081648589397,0.116664656350979
2.62236265931074,0.1293439473114
2.64396452730841,0.141927870838758
2.66564116337361,0.154382857596618
2.68743529211633,0.166631087759599
2.70925345345219,0.178836211842837
2.73099875406919,0.191171035635039
2.75276656140039,0.203465423635622
2.7745545866274,0.215724716420839
2.79638457352496,0.227908096729339
2.81812186327758,0.240257034901633
2.83990340351914,0.252527771778817
2.86168990286723,0.264789353382428
2.88350653832415,0.276997147753791
2.90829634887422,0.280232774022709
2.93307395239284,0.283559953027366
2.9578198939237,0.287116013871371
2.98252539966293,0.290941392346342
3.00715499292545,0.295228349197332
3.03167434143535,0.300107728542502
3.05599418127528,0.305899964956938
3.08069015027121,0.309785234179872
3.10477424181661,0.316491090603039
3.12778487753547,0.326263963673471
3.15239425290218,0.330664979974403
3.17695022250638,0.335356294741574
3.20134902658088,0.34080558986672
3.22569289901395,0.346496355332379
3.25001960530906,0.3522588371077
3.27412887385679,0.358872759325395
3.29839263764609,0.364894640518644
3.31363426079801,0.384711230169403
3.33770652678171,0.391458285323653
3.36139045657799,0.399463046185121
3.38525367714843,0.406915438874295
3.40788360607451,0.417540896796298
3.42289634738708,0.43753105517523
3.44650207588825,0.445763171997116
3.46870056254715,0.457262577075698
3.4665540323638,0.482170261773023
3.48901878489582,0.493139423923781
3.50914512796916,0.507969822704341
3.52496429629571,0.527328267206672
3.54225898954658,0.545380940815521
3.55674797291678,0.565754476275361
3.5667939783155,0.588646856377226
3.57529960893541,0.61215531009667
3.57721191670316,0.63708244975034
3.57926422386265,0.66199776384231
3.58037430078349,0.686973350151975
3.58156372340863,0.711944740294586
3.58285309110363,0.736911552800409
3.58418060577185,0.761876457957571
3.58545891084461,0.786843651933127
3.58674637119094,0.811810464438951
3.58787170690107,0.836785287809152
3.58899322791387,0.861760111179352
3.58992172524216,0.88674294541393
3.59084259317581,0.911725779648508
3.5916162137928,0.936713954459338
3.59238106060596,0.961702129270167
3.5930322294389,0.986693737308586
3.59367462446801,1.01168534534701
3.59422661117057,1.03667924220382
3.59477058700875,1.06167352053036
3.59524132065834,1.08666894326611
3.59570480638302,1.11166474747158
3.59610878282947,1.13666131461652
3.59650551135101,1.16165826323119
3.59685341174682,1.18665597478533
3.59719482715718,1.21165330486973
3.59749542530619,1.23665177936333
3.59779068287895,1.2616498723872
3.59805198964554,1.2866483468808
3.59830795583588,1.31164720284413
3.59853569326603,1.33664605880746
3.59875885305939,1.36164529624053
3.59895759878989,1.38664453367359
3.59915252982307,1.41164377110666
3.59932686149071,1.43664300853972
3.59949775993076,1.46164262744252
3.59965111076312,1.48664224634531
3.59980140983762,1.51164148377838
3.59993645012284,1.53664148415091
3.60006882011993,1.56164072158397
3.60018822014612,1.5866407219565
3.60030533135392,1.61163995938957
3.60041061700002,1.63663995976209
3.60051437676719,1.66163996013462
3.60060821832133,1.68663996050715
3.6007001525268,1.71163919794022
3.60078331292843,1.73663919831275
3.60086532892086,1.76163919868528
3.60093933404892,1.7866391990578
3.60101219476778,1.81163919943033
3.60107818903145,1.83663919980286
3.60114303888594,1.86163920017539
3.60120216669443,1.88663843760846
3.60126015009374,1.91163843798098
3.60131279291679,1.93663843835351
3.60136467280037,1.96163843872604
3.60141197504717,1.98663843909857
3.60145813288477,2.0116384394711
3.60150047602505,2.03663843984363
3.60154205622587,2.06163844021616
3.60158020319909,2.08663844058869
3.60161720576312,2.11163844096122
3.60165115656929,2.13663844133375
3.60168472590573,2.16163844170627
3.60171524348431,2.1866384420788
3.60174537959315,2.21163844245133
3.60177284541388,2.23663844282386
3.60179954829513,2.26163844319639
3.60182434382773,2.28663844356892
3.60184875789059,2.31163844394145
3.60187088313506,2.33663844431398
3.6018926269098,2.36163844468651
3.60191246333588,2.38663844505904
3.60193229976195,2.41163844543157
3.60195022883937,2.43663844580409
3.60196777644705,2.46163844617662
3.60198379817581,2.48663844654915
3.60199981990456,2.51163844692168
3.60201431575439,2.53663844729421
3.60202843013448,2.56163844766674
3.60204140010538,2.58663844803927
3.60205398860654,2.6116384484118
3.60206581416824,2.63663844878433
3.60207687679048,2.66163844915686
3.60208717647325,2.68663844952938
3.60209709468629,2.71163844990191
3.60210548702039,2.73663845027444
3.6021138793545,2.76163845064697
3.60212112727942,2.7866384510195
3.60212761226486,2.81163845139203
3.60213257137138,2.83663845176456
3.60213676753844,2.86163845213709
3.60213905635683,2.88663845250962
3.6021398192963,2.91163845288215
3.60213791194764,2.93663845325467
3.60213295284112,2.9616384536272
3.60212417903727,2.98663845399973
3.60211082759665,3.01163845437226
3.60209099117057,3.03663845474479
3.60206276241038,3.06163845511732
3.60202347102796,3.08663845548985
