x,y,theta
-0.069999975413084,0.08000007450580604,0.0
-0.03045434341511677,0.07431197932827338,0.0
-0.005584233486417789,0.07176795768391919,0.0
0.016344554071791917,0.08377319162745955,0.0
0.03859530208401796,0.09517112575726294,0.0
0.06079207212913107,0.10667320112396972,0.0
0.08314905946178786,0.1178609454313051,0.0
0.10494261599991606,0.1301099385337512,0.0
0.12673674474264263,0.1423581686967328,0.0
0.1486392108893273,0.15441146782653625,0.0
0.17050944284363712,0.16652313182537348,0.0
0.19244070995510643,0.17852416960185913,0.0
0.2141419508180309,0.19093605027997462,0.0
0.23563471847228246,0.2037053680972054,0.0
0.25724097337187746,0.21628204369965154,0.0
0.27894011615127456,0.2286977390750895,0.0
0.30022956043823856,0.241803513196162,0.0
0.32183581533783356,0.2543798073288759,0.0
0.3439000246509909,0.2661347971280623,0.0
0.36603995570599923,0.2777459728381917,0.0
0.3908311014001231,0.28097053648487424,0.0
0.41564780556630754,0.28399177676426923,0.0
0.44050437331951176,0.28666702399651633,0.0
0.46537715353633646,0.2891847242293455,0.0
0.4902777810436152,0.29141327040513154,0.0
0.5151888989685307,0.29351860185740186,0.0
0.5401192811149247,0.2953828444388922,0.0
0.5650569111862314,0.2971486678294628,0.0
0.5900080834330328,0.2987104049132814,0.0
0.6149642147863534,0.3001886001257379,0.0
0.6399304550875786,0.3014890304429674,0.0
0.6649005100861263,0.302710877995354,0.0
0.68987075581954,0.3039300552596149,0.0
0.714847486538402,0.305010377541338,0.0
0.7398413833952151,0.3055596939557734,0.0
0.7648371876006894,0.30601669469500514,0.0
0.7898329918061637,0.3055535904400575,0.0
0.8148299404208348,0.3051660171920947,0.0
0.8398299407933638,0.3051652542526302,0.0
0.8648299411658928,0.3052140823783578,0.0
0.8898259361062333,0.30566078343481884,0.0
0.9148221217814398,0.30609222570199,0.0
0.939820787009906,0.30634895483179214,0.0
0.964819261503506,0.3066354386007095,0.0
0.9898146842392481,0.30710960547789234,0.0
1.0148101069749902,0.3075914017497201,0.0
1.0398040038318033,0.3081426255128168,0.0
1.0647979006886163,0.3086942307456457,0.0
1.0897874106435086,0.3094197861763792,0.0
1.1147780650075976,0.3101045243457623,0.0
1.1397748228874025,0.31050811932247946,0.0
1.1647713900323413,0.31091934369384155,0.0
1.1897664312983511,0.31141296552736897,0.0
