x,y,theta,s0,v,omega,w,time_elapsed
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.23517257208004594,0.05922520160675049,-0.7698279023170471,1.0,0.23517257208004594
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.26245922251971776,0.0981726199388504,-0.7383092641830444,0.9865038990974426,0.027659951942041516
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.2991570826075561,0.10274195671081543,-0.7352292537689209,0.9848498702049255,0.037262390134856105
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.3482983827577481,0.10890033841133118,-0.7311743497848511,0.9827572703361511,0.050003496930003166
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.3972477468661385,0.11687253415584564,-0.725889265537262,0.9797183871269226,0.04996268800459802
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.4460894876312507,0.12449455261230469,-0.7207926511764526,0.9764159321784973,0.05002145003527403
-0.04920484366055109,0.04970180805884624,-0.0014756428328713488,0.4947015165911491,0.13209998607635498,-0.7157074809074402,0.9731206893920898,0.04995477898046374
-0.07263471427255806,0.08389263819413013,-0.08928811792603462,0.5429199224507536,0.17745070159435272,-0.7036002278327942,0.963916003704071,0.050023451913148165
-0.07263471427255806,0.08389263819413013,-0.08928811792603462,0.5911161153674381,0.18675576150417328,-0.7051560282707214,0.9635984301567078,0.050016886088997126
-0.08414380938060574,0.11892546876230252,-0.16331472670265493,0.6390809542008633,0.24137607216835022,-0.7161550521850586,0.9593392014503479,0.04999778885394335
-0.08414380938060574,0.11892546876230252,-0.16331472670265493,0.6869738157632406,0.25054019689559937,-0.7153565883636475,0.9583508372306824,0.04997424711473286
-0.0868737985271475,0.12919735219742345,-0.2511253907016262,0.7353021219493268,0.28937411308288574,-0.7133861184120178,0.9658692479133606,0.0500360750593245
-0.0868737985271475,0.12919735219742345,-0.2511253907016262,0.783555312828432,0.29890161752700806,-0.7125459909439087,0.9648887515068054,0.050009071826934814
-0.08477414813796262,0.14117132816695002,-0.33283244631134595,0.8320939185126217,0.3352699875831604,-0.7106927037239075,0.9715914726257324,0.04995783418416977
-0.08477414813796262,0.14117132816695002,-0.33283244631134595,0.8806245508211143,0.34437018632888794,-0.7098236680030823,0.9704723358154297,0.050007228972390294
-0.0712047588263391,0.13269334326249468,-0.4056900306282299,0.9299865147750602,0.3472011387348175,-0.7091420292854309,0.9864507913589478,0.0500399658922106
-0.0712047588263391,0.13269334326249468,-0.4056900306282299,0.9792409059390323,0.35581472516059875,-0.7085188031196594,0.9851527810096741,0.04999670316465199
-0.04940845120412492,0.11238296213785519,-0.4758266376210876,1.0292802187412875,0.35424792766571045,-0.7076247334480286,1.0,0.050039312802255154
-0.04940845120412492,0.11238296213785519,-0.4758266376210876,1.0792481507904725,0.3624698221683502,-0.7072312831878662,1.0,0.04996793204918504
-0.02335532729542095,0.0879726996239815,-0.547285252053938,1.129223331788917,0.3416746258735657,-0.7051019072532654,1.0,0.04997518099844456
-0.02335532729542095,0.0879726996239815,-0.547285252053938,1.1792519269309836,0.34900063276290894,-0.7051598429679871,1.0,0.05002859514206648
0.004014455963560933,0.0673949486928196,-0.6214057398252428,1.2292098067499595,0.34616029262542725,-0.6927219033241272,1.0,0.049957879818975925
0.004014455963560933,0.0673949486928196,-0.6214057398252428,1.279203898718943,0.3546437621116638,-0.6936317086219788,1.0,0.04999409196898341
0.029014841382777844,0.045466570183910184,-0.6909733043241493,1.329196362736066,0.31293052434921265,-0.6622905135154724,1.0,0.049992464017122984
0.029014841382777844,0.045466570183910184,-0.6909733043241493,1.3791887869391488,0.32312265038490295,-0.6610354781150818,1.0,0.04999242420308292
0.05306760651795563,0.019491227291903973,-0.7559677258313208,1.4292410078722881,0.26805955171585083,-0.51422518491745,1.0,0.050052220933139324
0.05306760651795563,0.019491227291903973,-0.7559677258313208,1.4791781457405435,0.2781751751899719,-0.5234697461128235,1.0,0.04993713786825538
