x,y,theta,s0,v,omega,w,time_elapsed
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.18450315902009606,0.0843544751405716,-0.7633126974105835,1.0,0.18450315902009606
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.20259900309611112,0.11758193373680115,-0.7505936026573181,1.0,0.018095844076015055
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.24989768501836807,0.12016846239566803,-0.7485777735710144,1.0,0.04729868192225695
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.29992244904860854,0.12693138420581818,-0.7432816624641418,1.0,0.050024764030240476
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.3500198320252821,0.134134441614151,-0.7390516996383667,1.0,0.05009738297667354
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.39995733299292624,0.1408289223909378,-0.7351552248001099,1.0,0.049937500967644155
-0.04728352975629482,0.033459851710642856,-0.0027963627546150533,0.44993493100628257,0.147502139210701,-0.7312714457511902,1.0,0.04997759801335633
-0.06325432222596952,0.05717919101122888,-0.08849826778602933,0.49954234959310095,0.19510403275489807,-0.6966339945793152,0.9922075271606445,0.049997018999420106
-0.08344444644433353,0.06008933155812441,-0.1592358755701006,0.5492608192134614,0.2643221914768219,-0.7006796598434448,0.9957900643348694,0.04992866609245539
-0.08344444644433353,0.06008933155812441,-0.1592358755701006,0.5992746846365824,0.2728498578071594,-0.7010481357574463,0.9949012994766235,0.05027017800603062
-0.07638691012768728,0.08298464478385066,-0.23404038414936532,0.6492124775738537,0.2759332060813904,-0.7090169787406921,1.0,0.0499377929372713
-0.07638691012768728,0.08298464478385066,-0.23404038414936532,0.6991697105893016,0.28304150700569153,-0.7086965441703796,1.0,0.049957233015447855
-0.07638691012768728,0.08298464478385066,-0.23404038414936532,0.7490770792152841,0.2901526689529419,-0.7083762288093567,0.9999628663063049,0.049909221939742565
-0.06210656778352883,0.0864963263590364,-0.31488990605490624,0.7991573232954476,0.281066358089447,-0.7136239409446716,1.0,0.05008024408016354
-0.034837938930443735,0.07591060492036736,-0.39360970661780204,0.8489701512532417,0.2791109085083008,-0.71042400598526,1.0,0.04981282795779407
-0.034837938930443735,0.07591060492036736,-0.39360970661780204,0.8991646782757823,0.28774842619895935,-0.7099718451499939,1.0,0.05019452702254057
-0.034837938930443735,0.07591060492036736,-0.39360970661780204,0.9490234022757147,0.29673662781715393,-0.7094405293464661,1.0,0.04985872399993241
-0.01768652403792925,0.06739280865132316,-0.4683794843482104,0.9992333422212039,0.2957509756088257,-0.7060525417327881,1.0,0.05020993994548917
-0.01768652403792925,0.06739280865132316,-0.4683794843482104,1.0490668212093521,0.3049301505088806,-0.7055786848068237,1.0,0.04983347898814827
-0.0019531712616197073,0.05160164005619858,-0.5382318757606199,1.0991153622541685,0.31532132625579834,-0.6907997727394104,1.0,0.050048541044816375
-0.0019531712616197073,0.05160164005619858,-0.5382318757606199,1.1490685862751786,0.3253284692764282,-0.6886745095252991,1.0,0.0499532240210101
0.018176157861599686,0.028195457068533342,-0.6095266461267513,1.1991038953216855,0.2836759686470032,-0.6202167272567749,1.0,0.05003530904650688
0.018176157861599686,0.028195457068533342,-0.6095266461267513,1.2490612972557653,0.29430386424064636,-0.6172716021537781,1.0,0.049957401934079826
0.041912939657589146,0.007353864928686088,-0.6791168621964462,1.2991876072280217,0.22201618552207947,0.018086226657032967,1.0,0.05012630997225642
0.041912939657589146,0.007353864928686088,-0.6791168621964462,1.3490390633029972,0.23315377533435822,-0.03069053404033184,1.0,0.04985145607497543
0.06313022775352695,-0.018938048454064677,-0.7449731065536204,1.3989664221863842,0.12487846612930298,0.6809880137443542,0.9984883666038513,0.050002945004962385
0.06313022775352695,-0.018938048454064677,-0.7449731065536204,1.4488769933523808,0.14300081133842468,0.6656371355056763,0.9977032542228699,0.05002546694595367
0.08586482035462803,-0.040588826037490006,-0.7801158357308043,1.4964288073404823,0.0648060142993927,0.6578584313392639,0.948688805103302,0.05012372205965221
0.08586482035462803,-0.040588826037490006,-0.7801158357308043,1.5437081605503262,0.0734359622001648,0.6600872874259949,0.9486446976661682,0.049838842009194195
0.10404578228748793,-0.059045892407443616,-0.75039893142648,1.5908157759647081,0.023180052638053894,0.6460965871810913,0.9407387375831604,0.050075130886398256
0.10404578228748793,-0.059045892407443616,-0.75039893142648,1.637740989795213,0.031764641404151917,0.6476728320121765,0.939062774181366,0.04997026303317398
0.11566107619771508,-0.06925720201903113,-0.6952183097879872,1.6844864733728555,0.01,0.64235520362854,0.9346579313278198,0.05001346697099507
0.11566107619771508,-0.06925720201903113,-0.6952183097879872,1.7310824335358685,0.01,0.6419838666915894,0.9318888783454895,0.05000162706710398
0.1235086453033665,-0.074478159131795,-0.6418238738340316,1.7778277153238216,0.01,0.6442261338233948,0.9348978400230408,0.05000041692983359
0.1235086453033665,-0.074478159131795,-0.6418238738340316,1.8244021787468647,0.01283515989780426,0.6438149809837341,0.9319571852684021,0.049974896013736725
0.1284006283578329,-0.07819922939370615,-0.5861372699979307,1.8714320837503307,0.01,0.6456693410873413,0.9394221305847168,0.05006259004585445
0.1284006283578329,-0.07819922939370615,-0.5861372699979307,1.9181635050499057,0.01,0.6451839804649353,0.9365602135658264,0.04989686794579029
0.12974338677204383,-0.08310965435681467,-0.5313825139458793,1.965286125509822,0.01,0.6493068337440491,0.9409741759300232,0.05007854802533984
0.12974338677204383,-0.08310965435681467,-0.5313825139458793,2.0121743560303176,0.010054811835289001,0.6489017009735107,0.9384283423423767,0.04996463598217815
0.13249554446849776,-0.08472516301190382,-0.47814398538067815,2.0594316228112404,0.017945796251296997,0.6513010859489441,0.9429252743721008,0.05011772201396525
