x,y,theta,s,obs1_x,obs1_y,obs1_r,obs2_x,obs2_y,obs2_r
3.9985186862759865,-0.9999470927607937,-0.00029912329509138377,0.012898441117397304,0.0,0.0,0.0,0.0,0.0,0.0
3.998516922295804,-0.9999470704558898,-0.00029967742942535295,0.08868511130324958,0.0,0.0,0.0,0.0,0.0,0.0
3.9985151572947797,-0.9999470486043891,-0.0003002287309428377,0.17138954628972428,0.0,0.0,0.0,0.0,0.0,0.0
4.006381961016619,-0.9999496829274607,-0.0002999529539165382,0.26498785485469967,0.0,0.0,0.0,0.0,0.0,0.0
4.029848454509067,-0.9999571828713902,-0.0002976821329170307,0.3526898265739657,0.0,0.0,0.0,0.0,0.0,0.0
4.068914647944167,-0.999969387966549,-0.0002932072846978944,0.44156307105774856,0.0,0.0,0.0,0.0,0.0,0.0
4.130617457133586,-0.999986595102696,-0.0002877621836163053,0.5317846136783196,0.0,0.0,0.0,0.0,0.0,0.0
4.210568860501963,-0.9999436945596533,0.004718015336166359,0.6306945241356132,0.0,0.0,0.0,0.0,0.0,0.0
4.291825233664744,-0.9983578377280886,0.0420162707530052,0.7154899520495555,0.23141958013374422,-0.04169253271601366,1.216152969283077,4.011036282882024,3.29132151151116,1.2474717959053518
4.386898645279898,-0.9905639317275082,0.12920636352132717,0.8110457707065579,0.2014278987601898,-0.04336379717285789,1.251399109112747,4.019720363913844,3.2889325082729552,1.2464147285227025
4.481909699960124,-0.9733527698202401,0.22916664304241532,0.9139837329776224,0.2171384226107792,-0.03698252938611422,1.2330076471985685,4.049882687384699,3.3047465480684854,1.2426303829017167
4.565572214314965,-0.9498226439006114,0.3191308271852166,1.0028239073489897,4.019771816836057,3.290831927153543,1.2428557754006384,0.21316531459546526,-0.04222890400178474,1.2331111874465288
4.646782384201411,-0.9188712009022766,0.40909498767644104,1.0890425790432214,4.023045586145421,3.2877400164720116,1.2391838524142635,0.20801342232592,-0.05064160778764963,1.2402978717048063
4.724883415704916,-0.8807487455846822,0.49905924712732924,1.1776305249703225,4.040332897596385,3.283076508280251,1.2331090885958225,0.20225711939966254,-0.05440625885141896,1.2476411282497297
4.807248557073638,-0.830356869306859,0.5990198076944414,1.2745506994915565,4.057425387702546,3.2796092482612833,1.2275826798555691,0.22139780169482762,-0.03954641905778769,1.2255788523172173
