x,y
-0.21999997764825818,0.03000007376074798,0.0
-0.17826022711784018,0.023919064759001074,0.0
-0.15340508987613188,0.02123199196505432,0.0
-0.13140248792473241,0.033101422683914805,0.0
-0.10908936961128401,0.04437652355993471,0.0
-0.08682317207490198,0.055743558641426105,0.0
-0.06440209782722772,0.06680236617926205,0.0
-0.0420708597014976,0.07804122743071851,0.0
-0.020174115600796627,0.09010520771302488,0.0
0.0018260067973432381,0.10197921606867233,0.0
0.023800189253690318,0.11390128961058288,0.0
0.045832736579071165,0.12571502574853533,0.0
0.0676314429585847,0.1379548635774075,0.0
0.08923807932791195,0.15053115771012138,0.0
0.11096297131423571,0.16290145818742197,0.0
0.13311453719607758,0.17449050865308102,0.0
0.15457640580201715,0.18731208782362962,0.0
0.17636252368036653,0.19957443236670436,0.0
0.19859591481977534,0.21100593583294547,0.0
0.22091532738380582,0.22226806673806898,0.0
0.24305907313613662,0.2338723759930179,0.0
0.26526099302263506,0.24536453314668627,0.0
0.28757659088934306,0.2566350563859192,0.0
0.30990687534074257,0.26787544351630466,0.0
0.33230200964662404,0.27898689387719067,0.0
0.3571807026442986,0.28144622924098606,0.0
0.38208266529564017,0.28365913515775,0.0
0.40699511836461855,0.2857488263509982,0.0
0.4319253097761464,0.2876165021600787,0.0
0.45686351205205145,0.28937088145868195,0.0
0.4818156379731835,0.2909169782834784,0.0
0.5067748210843621,0.29234748977940406,0.0
0.5317448760829098,0.29356971880152294,0.0
0.5567212253320395,0.29465690753842644,0.0
0.5817069205896093,0.29549995564669196,0.0
0.6066981471582966,0.29616752767812393,0.0
0.6316979567959595,0.2962266554866222,0.0
0.6566977664336224,0.2961145033853416,0.0
0.6800000357627869,0.2800000774860383,0.0
0.705292241950217,0.2686399088597273,0.0
0.7292905028058658,0.2616334542875496,0.0
0.7525429903349721,0.25245109636263585,0.0
0.774385565733694,0.24028945982887429,0.0
0.7952643578538943,0.22653900186030462,0.0
0.8159758754965043,0.21253791827764879,0.0
0.8367757033821295,0.1986684417526181,0.0
0.8573544695579176,0.18447242713678413,0.0
0.8778241353902831,0.1701203914004612,0.0
0.8983683785553029,0.15587478571943514,0.0
0.9188088619531516,0.14148078831256505,0.0
0.9392865386498943,0.12713943372874503,0.0
0.9597035616592098,0.11271224845516947,0.0
0.9800111028553704,0.09813133087949844,0.0
1.0003258919764437,0.08356071298659806,0.0
1.0206464031435007,0.06899772448834263,0.0
1.039421961894958,0.052490766234557285,0.0
1.0592904314293026,0.037317044694974655,0.0
1.0795495259694678,0.022668988446428173,0.0
1.097023509994499,0.004789883565750941,0.0
1.1168343775992742,-0.010458987511084317,0.0
1.1318751569371688,-0.030428546524474243,0.0
1.150497746325995,-0.04710754762750291,0.0
1.1711716891999788,-0.06116432579106679,0.0
1.1875045065209935,-0.08009170949595834,0.0
1.207136464821345,-0.0955702253516062,0.0
1.2285624752724533,-0.10845131380038531,0.0
1.2452235472980664,-0.12709030638769825,0.0
1.2652919069721082,-0.14199852499363708,0.0
1.2902858038289213,-0.14144196065428893,0.0
1.3151919626473176,-0.13927750139352035,0.0
1.3364503171511035,-0.1524332480495172,0.0
1.3560233383778229,-0.16798653197268543,0.0
1.3767792972442396,-0.18192162129166256,0.0
1.4014418876385963,-0.18601555445813567,0.0
1.4258752147238727,-0.19130882846279285,0.0
1.4508721633385437,-0.1916872464371817,0.0
1.475617532664798,-0.195246740508777,0.0
1.5005933097093294,-0.19634995097443486,0.0
1.5233544642233017,-0.18600983241215197,0.0
1.5481606779718493,-0.18911575897210575,0.0
1.5723607363158567,-0.1953901731281018,0.0
1.5963467901400736,-0.20243706349189772,0.0
1.6195710489089936,-0.2116907562567416,0.0
1.6439400983443864,-0.2172731843184419,0.0
1.6678517655708152,-0.2245684114779305,0.0
1.6908730824421798,-0.21481995247036245,0.0
1.7123521171860705,-0.2020273649994646,0.0
1.7373307552535937,-0.20305809621599558,0.0
1.7620774597239108,-0.19950699447850972,0.0
1.7870732639293851,-0.19905037520901026,0.0
1.8120686866651272,-0.19858383772647237,0.0
1.8370320659433605,-0.19722885723753159,0.0
1.8618996963188,-0.1997984373539463,0.0
1.880345665221596,-0.21667236949015312,0.0
1.8933236469823658,-0.23804001507222772,0.0
1.9079537741534967,-0.21776795056116605,0.0
1.93241971690088,-0.21262840885860435,0.0
1.956793725442792,-0.20706925045057112,0.0
1.9816533449538543,-0.2044214690390458,0.0
2.006312311385755,-0.20030693650703135,0.0
2.030190790745478,-0.19290337194358465,0.0
2.053694285358403,-0.18438324547385143,0.0
2.0767911332367524,-0.1748156031193684,0.0
2.0998193165632975,-0.1650839287800192,0.0
2.1224488640196446,-0.15445885232774792,0.0
2.1448289302711023,-0.14331688438828216,0.0
2.166875210506844,-0.1315290881921225,0.0
2.188393155163424,-0.11880173204543887,0.0
2.2098054327041714,-0.1058981368824572,0.0
2.2319623391622647,-0.0943193860995688,0.0
2.2537431164643627,-0.0820475048131879,0.0
2.2749703811849704,-0.06884064121306999,0.0
2.2968198230388728,-0.056691593180472566,0.0
2.3186871939701907,-0.04457458860538388,0.0
2.340791457605234,-0.032895892752646816,0.0
2.3628308713857953,-0.021095126585590762,0.0
2.384634536871828,-0.008863681090828024,0.0
2.406410736537139,0.0034162110599300632,0.0
2.4281678627158376,0.015729672547125872,0.0
2.4499856425819635,0.027935559569828072,0.0
2.4716012434899985,0.04049659491325208,0.0
2.4932801683735866,0.05294700403432451,0.0
2.514933534785114,0.06544204511406981,0.0
2.5364446129865135,0.0781812268224531,0.0
2.5579457729748745,0.0909360487898585,0.0
2.5794854614061924,0.10362678384224644,0.0
2.6008164858939713,0.116664656350979,0.0
2.6223626593107374,0.12934394731139953,0.0
2.6439645273084116,0.14192787083875835,0.0
2.665641163373606,0.15438285759661774,0.0
2.6874352921163327,0.16663108775959934,0.0
2.709253453452191,0.17883621184283705,0.0
2.73099875406919,0.19117103563503868,0.0
2.7527665614003913,0.20346542363562214,0.0
2.774554586627402,0.2157247164208389,0.0
2.7963845735249597,0.22790809672933854,0.0
2.8181218632775815,0.2402570349016333,0.0
2.839903403519144,0.25252777177881747,0.0
2.8616899028672256,0.2647893533824277,0.0
2.8835065383241547,0.27699714775379114,0.0
2.9082963488742157,0.28023277402270885,0.0
2.933073952392845,0.2835599530273658,0.0
2.9578198939236975,0.28711601387137087,0.0
2.982525399662932,0.2909413923463422,0.0
3.0071549929254493,0.2952283491973322,0.0
3.0316743414353473,0.30010772854250156,0.0
3.05599418127528,0.3058999649569376,0.0
3.0806901502712085,0.3097852341798717,0.0
3.104774241816613,0.3164910906030389,0.0
3.1277848775354746,0.32626396367347077,0.0
3.152394252902183,0.3306649799744026,0.0
3.1769502225063766,0.33535629474157425,0.0
3.2013490265808846,0.3408055898667204,0.0
3.225692899013949,0.34649635533237877,0.0
3.2500196053090624,0.35225883710769956,0.0
3.274128873856795,0.3588727593253953,0.0
3.2983926376460877,0.36489464051864395,0.0
3.3136342607980103,0.3847112301694029,0.0
3.337706526781715,0.3914582853236528,0.0
3.3613904565779924,0.3994630461851205,0.0
3.385253677148426,0.4069154388742948,0.0
3.4078836060745052,0.41754089679629836,0.0
3.4228963473870797,0.4375310551752296,0.0
3.4465020758882465,0.44576317199711646,0.0
3.4687005625471548,0.4572625770756975,0.0
3.4665540323638018,0.4821702617730228,0.0
3.4890187848958183,0.49313942392378074,0.0
3.5091451279691617,0.5079698227043412,0.0
3.524964296295706,0.5273282672066717,0.0
3.542258989546581,0.5453809408155212,0.0
3.5567479729167806,0.5657544762753606,0.0
3.566793978315501,0.5886468563772258,0.0
3.575299608935409,0.6121553100966697,0.0
3.5772119167031624,0.6370824497503396,0.0
3.5792642238626504,0.6619977638423098,0.0
3.5803743007834887,0.686973350151975,0.0
3.5815637234086344,0.7119447402945855,0.0
3.5828530911036287,0.7369115528004091,0.0
3.5841806057718477,0.7618764579575714,0.0
3.585458910844607,0.7868436519331272,0.0
3.58674637119094,0.8118104644389508,0.0
3.587871706901068,0.8367852878091515,0.0
3.588993227913874,0.8617601111793523,0.0
3.5899217252421627,0.8867429454139302,0.0
3.5908425931758066,0.9117257796485081,0.0
3.591616213792803,0.9367139544593375,0.0
3.592381060605958,0.9617021292701669,0.0
3.5930322294389034,0.9866937373085864,0.0
3.593674624468007,1.011685345347006,0.0
3.5942266111705683,1.0366792422038191,0.0
3.5947705870087523,1.0616735205303645,0.0
3.595241320658345,1.0866689432661065,0.0
3.595704806383025,1.1116647474715808,0.0
3.596108782829474,1.1366613146165196,0.0
3.596505511351011,1.1616582632311907,0.0
3.59685341174682,1.1866559747853263,0.0
3.597194827157181,1.2116533048697296,0.0
3.5974954253061915,1.2366517793633296,0.0
3.5977906828789505,1.2616498723871974,0.0
3.5980519896455396,1.2866483468807974,0.0
3.5983079558358773,1.3116472028441297,0.0
3.5985356932660286,1.336646058807462,0.0
3.598758853059393,1.3616452962405265,0.0
3.5989575987898936,1.386644533673591,0.0
3.5991525298230718,1.4116437711066556,0.0
3.5993268614907086,1.4366430085397202,0.0
3.599497759930755,1.461642627442517,0.0
3.5996511107631184,1.4866422463453137,0.0
3.5998014098376236,1.5116414837783783,0.0
3.599936450122839,1.5366414841509073,0.0
3.6000688201199287,1.5616407215839718,0.0
3.600188220146122,1.5866407219565009,0.0
3.6003053313539217,1.6116399593895654,0.0
3.600410617000022,1.6366399597620944,0.0
3.600514376767193,1.6616399601346235,0.0
3.6006082183213257,1.6866399605071525,0.0
3.600700152526797,1.711639197940217,0.0
3.600783312928427,1.736639198312746,0.0
3.60086532892086,1.761639198685275,0.0
3.600939334048916,1.786639199057804,0.0
3.601012194767775,1.8116391994303331,0.0
3.601078189031454,1.8366391998028622,0.0
3.601143038885936,1.8616392001753912,0.0
3.601202166694434,1.8866384376084557,0.0
3.6012601500937356,1.9116384379809848,0.0
3.6013127929167856,1.9366384383535138,0.0
3.601364672800371,1.9616384387260428,0.0
3.60141197504717,1.9866384390985719,0.0
3.6014581328847717,2.011638439471101,0.0
3.601500476025051,2.03663843984363,0.0
3.601542056225866,2.061638440216159,0.0
3.6015802031990907,2.086638440588688,0.0
3.6016172057631186,2.111638440961217,0.0
3.6016511565692886,2.136638441333746,0.0
3.6016847259057263,2.161638441706275,0.0
3.601715243484306,2.186638442078804,0.0
3.6017453795931536,2.211638442451333,0.0
3.6017728454138753,2.236638442823862,0.0
3.6017995482951326,2.261638443196391,0.0
3.6018243438277286,2.28663844356892,0.0
3.6018487578905924,2.3116384439414492,0.0
3.6018708831350628,2.3366384443139783,0.0
3.601892626909801,2.3616384446865073,0.0
3.6019124633358777,2.3866384450590363,0.0
3.6019322997619545,2.4116384454315654,0.0
3.60195022883937,2.4366384458040944,0.0
3.6019677764470535,2.4616384461766234,0.0
3.601983798175808,2.4866384465491524,0.0
3.601999819904562,2.5116384469216815,0.0
3.6020143157543876,2.5366384472942105,0.0
3.6020284301344807,2.5616384476667395,0.0
3.602041400105377,2.5866384480392686,0.0
3.6020539886065412,2.6116384484117976,0.0
3.602065814168241,2.6366384487843266,0.0
3.602076876790476,2.6616384491568557,0.0
3.6020871764732467,2.6866384495293847,0.0
3.602097094686285,2.7116384499019137,0.0
3.6021054870203946,2.7366384502744427,0.0
3.602113879354504,2.7616384506469718,0.0
3.6021211272794167,2.786638451019501,0.0
3.602127612264865,2.81163845139203,0.0
3.602132571371384,2.836638451764559,0.0
3.602136767538439,2.861638452137088,0.0
3.6021390563568323,2.886638452509617,0.0
3.602139819296297,2.911638452882146,0.0
3.6021379119476356,2.936638453254675,0.0
3.6021329528411163,2.961638453627204,0.0
3.6021241790372747,2.986638453999733,0.0
3.602110827596646,3.011638454372262,0.0
3.602090991170569,3.036638454744791,0.0
3.602062762410383,3.06163845511732,0.0
3.6020234710279615,3.086638455489849,0.0
3.601970065265447,3.1116376929229137,0.0
3.6018979674860523,3.1366376932954427,0.0
3.601801837113526,3.1616376936679718,0.0
3.601682818557065,3.186637694040501,0.0
3.601519168041931,3.2116369314735653,0.0
3.601230013984888,3.2366354059671654,0.0
3.6008802062404177,3.261633117521301,0.0
3.600271762017484,3.286625488499185,0.0
3.5996019011676585,3.31161633359814,0.0
3.598479235745656,3.336591156968341,0.0
3.5973413115343638,3.361565217399077,0.0
3.595709765489544,3.3865118120090916,0.0
3.594172060998857,3.411464510134822,0.0
3.5923387174656787,3.4363973718344756,0.0
3.5907697324569474,3.4613477811418125,0.0
3.5893678311909403,3.4863088716016524,0.0
3.58850532812633,3.5112936131848915,0.0
3.580745470832965,3.5350591775038698,0.0
3.5754872920436744,3.559499943248925,0.0
3.5629960656612516,3.5811552170091137,0.0
3.544355928664742,3.5978155260952622,0.0
3.5234891528411074,3.6115842946109797,0.0
3.5214757555943086,3.636502660460808,0.0
3.5100690476606635,3.6587492123059793,0.0
3.5080705277334223,3.6836691040347365,0.0
3.4988359084551908,3.706900610728569,0.0
3.479866563079752,3.7231847906587223,0.0
3.4557359322270136,3.729720130111575,0.0
3.435339127113507,3.744175544145337,0.0
3.4144826509726434,3.7579595714503444,0.0
3.3933141325908016,3.771259895134863,0.0
3.3700913997008106,3.780517402597029,0.0
3.3454484549976646,3.776305976753024,0.0
3.3229951465576155,3.787298408557449,0.0
3.3004090866507445,3.7980161821546563,0.0
3.2776982861414288,3.808466926939291,0.0
3.254962690099517,3.818863503021946,0.0
3.2321954320698287,3.829191414552797,0.0
3.2094255037520147,3.8395116966890033,0.0
3.1866551939644685,3.849832741764674,0.0
3.1627683222706358,3.8572096034468633,0.0
3.138006740480761,3.8606558010079812,0.0
3.113078074948162,3.8625433132431386,0.0
3.088107447745016,3.863747994657574,0.0
3.0631223246920447,3.8646108791919165,0.0
3.0381295722444284,3.865218941945118,0.0
3.013131860690293,3.8655599758857466,0.0
2.9881326232572283,3.8653928921430225,0.0
2.9631673366303337,3.8640760586273064,0.0
2.9385365989586196,3.859794442352568,0.0
2.9162412189877207,3.8484846277309135,0.0
2.9006013414353324,3.828980843260597,0.0
2.8759149091827103,3.8329282920498873,0.0
2.851223517823569,3.8368459862000623,0.0
2.8265271673579084,3.8407301110137997,0.0
2.801829291013319,3.844603554675034,0.0
2.7771287443806036,3.8484617395469787,0.0
2.7524281977478884,3.8523206873583877,0.0
2.727727269645441,3.856176583411939,0.0
2.7030282488916546,3.8600423976785283,0.0
2.6783296096076006,3.8639120266424403,0.0
2.65363325914194,3.867798440274571,0.0
2.6289384345552085,3.8716932462408113,0.0
2.604246661726335,3.875607125693664,0.0
2.5795567962461226,3.879532449238484,0.0
2.5548970668747577,3.883643167073176,0.0
2.5302354301547316,3.8877409149369715,0.0
2.505573030495241,3.8918363739823736,0.0
2.4809094864265537,3.8959249665725952,0.0
2.4562463238275987,3.9000143221022814,0.0
2.4315827797589114,3.9041021517530385,0.0
2.4069199986296885,3.9081930331616537,0.0
2.3822572175004657,3.912285440449198,0.0
2.3575951993107074,3.916383951252458,0.0
2.3329339440604135,3.9204847508741114,0.0
2.308167784633752,3.923896616159327,0.0
2.2834065843136093,3.9273435766599096,0.0
2.265581266665179,3.944872110856652,0.0
2.2478051586122083,3.962450999058051,0.0
2.230000058859587,3.9800001326203347,0.0
2.1843929290771484,4.022583484649658,3.08504934976935
